contract_address,evt_block_number,evt_tx_hash,evt_index,inp_sender,inp_owner,inp_tickLower,inp_tickUpper,inp_amount,inp_amount0,inp_amount1
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12632353,0xd51a4a33badb7de9b05dea069bdd4a5d24f7667ce2b85b9e6fb7d4bb16961582,132,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,198140,198160,268814697087246984,10338576639,1229394555339647537
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12632363,0x17c86d48b82c7ceba495380601c482eb4de2436032fe927e7c7d8b63c8502d3b,181,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,196950,199360,18736101358883663,54948376533,21838396376871539097
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12632432,0x1249699d5480e41d5b68dc49b09dcc2c1c310f13eec90734ea34a71a393dc2d8,241,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,198100,198200,27066956191930509,2762532796,1599999999899545355
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12632498,0x12f777d6245de6b3f3ba16f8d4ff28dbd5f17ceef105c5c64e090c30f7cf8707,204,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,196600,199820,3444946320293604,13628830870,5204471277916188118
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12632532,0x31ab7aae8080221afabc2e3facbe6d35a945a08d20c1254338dbadf3cb38964a,143,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,196950,199360,38624606446720877,109955386392,46359708483373097711
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12632581,0x977faa446153671e71f9acf82d19c4ade82f99bb592038a3677debddbfbc4deb,111,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,115140,322380,50623993764010,2517336422,999999999807681922
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12632635,0xb6996dc208df1042be8998e7ebb5f7f166191dcf7e08c61381d3412610dde3ad,38,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,198080,198100,15948939602098399,0,319127885416252798
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12632679,0x4815e3b3fe01c622b7beb32a863f1b623741c517910ce20e64b6219beef83996,190,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,194820,200820,54715814577029,343842630,167155226063387665
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12632733,0x919dabcf2ad8ef2923d4511cfc823e7696495950e26f3f396a10536e0550784a,129,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,194160,200820,1573696410573700,10376063143,5481194333911804905
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12632830,0x4620d5bce1639bd4fe78dd3335e0a32fd95670ac4fc2377c5a54a19aa372a420,88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,197480,198400,872473889167728,1000000000,393502388964869554
