contract_address,evt_block_number,evt_tx_hash,evt_index,inp_sender,inp_recipient,inp_amount0,inp_amount1,inp_sqrtpricex96,inp_liquidity,inp_tick
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382510,0x7bd46e917b98f3476fd350fbefe6b67f3981ccf1f223872b1f882136c77dd9a3,204,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,400000000,-115619919427489660,1.3472492544835763e+33,55568866476597670,194834
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382513,0xbf8460504654b77bbb5c302daff75bc99d6ef2e7d0edadf5e20e099b1a25583d,221,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,-3107949986,900000000000000000,1.3485512484882146e+33,51592216351822280,194853
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382516,0xa12a9ad7b3fafcd377c4ab1755f52653e722547e86e6be7e9072d3233517df89,44,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,2366511292,-684765357634871000,1.3475554869772344e+33,55568866476597670,194839
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382522,0x9ffc4969c854141a17fdbb6ca1005b21341f254b6a62274e05be640647187980,284,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,1287320980,-372076968736316540,1.3470249925400433e+33,55568866476597670,194831
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382536,0xc2cb7e4313d81ad7686124ce737c10520ecd871c50bc3e4bead022c46cce6746,251,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,500000000,-144437029241766500,1.3468190907912384e+33,55583555247933180,194828
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382545,0xb124f6bb7775e897fbd5370b6d01f453986b0e022e5258040f48cecd441e47df,162,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,5000000000,-1441945981731230700,1.344767676494449e+33,57016572885786630,194797
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382550,0xcec6ecb7e6c277bfeae8a42ced32bf89a6196ed12cfb6b164bf6eaf0442efbb9,395,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x473D13919ebd47E73BE21B0a3B4982ce09961F78,-1502340,433033176210283,1.344768277920787e+33,57016572885786630,194797
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382553,0xe8c97ee012ba4686c6e300dceb63b8b7e07671d345826d7a97e296c4cb2c82a2,224,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,-971132092,280000000000000000,1.345163283685396e+33,55583555247933180,194803
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382556,0x9c9c9bf269dbae127365700fb3ab1f99135df9c2e9a44a4a96005afbc581d4d0,167,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,8917663720,-2562534680583708000,1.3415963559442987e+33,57016572885786630,194750
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382557,0x82e63d8297a81cdeadd42b19b97fbf124de1771898f3f819b7190a6367d3d7af,87,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x0000000000007F150Bd6f54c40A34d7C3d5e9f56,-17338435988,5000000000000000000,1.3486618664590603e+33,51592216351822280,194855
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382560,0x9deb3a2e8f81dcfa4fecf8471c5f90af93b284fed6aa2ac746b6df5dedb4c0ba,225,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x0000000000007F150Bd6f54c40A34d7C3d5e9f56,-6120150343,1777886938978816300,1.351390733251982e+33,51592216351822280,194896
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382563,0xec64d752b3858a9c96dc5d8f09a280d44072e344b21ee55934b3ced30da7fd46,30,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,1728777392,-502431143122045440,1.3506191692627934e+33,51592216351822280,194884
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382575,0x72900d9d5cd772d326c42e4a79c30ffa580a405aea3332d3e98b2bcba137d89f,137,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,2999942087,-870506975282206200,1.3492823655163302e+33,51592216351822280,194864
