,event,logIndex,transactionIndex,address,blockNumber,sender,to,shares,amount0,amount1
0,Deposit,228,40,0xFc089714519E84B7ce0a4023bfEE0D99F6d767dA,40310572,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,1440916418215799,10000,0
1,Deposit,158,42,0xFc089714519E84B7ce0a4023bfEE0D99F6d767dA,40382254,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,4337152384611809056,30000000,0
2,Deposit,154,31,0xFc089714519E84B7ce0a4023bfEE0D99F6d767dA,40543827,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,2199178009737222829,15000000,0
3,Deposit,92,26,0xFc089714519E84B7ce0a4023bfEE0D99F6d767dA,41987319,0xFFc14dF86148C538e149283d33FE0ac141e755F1,0xFFc14dF86148C538e149283d33FE0ac141e755F1,817437344770395083,5500000,0
