,event,logIndex,transactionIndex,address,blockNumber,sender,to,shares,amount0,amount1
0,Deposit,185,55,0x5394eb43700Ce8fBbF4CB83E8b52ea73b71426B6,39524709,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,1698,100000000000000000,0
1,Deposit,79,29,0x5394eb43700Ce8fBbF4CB83E8b52ea73b71426B6,39566189,0xdbc47822A6Fa5a6C03cC8Df2A4f2178Ae47b8aE8,0xdbc47822A6Fa5a6C03cC8Df2A4f2178Ae47b8aE8,85187433,5015462959781822594241,0
2,Deposit,263,62,0x5394eb43700Ce8fBbF4CB83E8b52ea73b71426B6,40756563,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,50093584,3000000000000000000000,0
