,event,logIndex,transactionIndex,address,blockNumber,sender,to,shares,amount0,amount1
0,Deposit,219,70,0xc9C785d61455A44E9281C60D19e97A5Fdd858510,38790292,0x58fd95F79CEC8dfFe6a0bE7c1e352c3d62537DdF,0x58fd95F79CEC8dfFe6a0bE7c1e352c3d62537DdF,781477200,180000000000000000000,0
1,Deposit,275,79,0xc9C785d61455A44E9281C60D19e97A5Fdd858510,38907712,0x210c09B2390ee03Ee86dD8bb736BDA2F31AaB57F,0x210c09B2390ee03Ee86dD8bb736BDA2F31AaB57F,18633650172,5000000000000000000000,0
2,Deposit,266,40,0xc9C785d61455A44E9281C60D19e97A5Fdd858510,38924460,0x2dDdb6a69f071313580073941a4491313303b1AB,0x2dDdb6a69f071313580073941a4491313303b1AB,17074849928,4595000000000000000000,0
3,Deposit,219,65,0xc9C785d61455A44E9281C60D19e97A5Fdd858510,40574123,0x2dDdb6a69f071313580073941a4491313303b1AB,0x2dDdb6a69f071313580073941a4491313303b1AB,9729190588,2608656923309772930430,0
