,event,logIndex,transactionIndex,address,blockNumber,sender,to,shares,amount0,amount1
0,Deposit,601,174,0x5a0834EBaFdF97DB54f45a43290b6B09D4226ec6,38790368,0x58fd95F79CEC8dfFe6a0bE7c1e352c3d62537DdF,0x58fd95F79CEC8dfFe6a0bE7c1e352c3d62537DdF,496064929906129320,180000000000000000000,0
1,Deposit,436,94,0x5a0834EBaFdF97DB54f45a43290b6B09D4226ec6,38907840,0x210c09B2390ee03Ee86dD8bb736BDA2F31AaB57F,0x210c09B2390ee03Ee86dD8bb736BDA2F31AaB57F,11575677249660657551,5000000000000000000000,0
2,Deposit,303,55,0x5a0834EBaFdF97DB54f45a43290b6B09D4226ec6,38924405,0x2dDdb6a69f071313580073941a4491313303b1AB,0x2dDdb6a69f071313580073941a4491313303b1AB,12739323725570203521,5500000000000000000000,0
3,Deposit,242,46,0x5a0834EBaFdF97DB54f45a43290b6B09D4226ec6,40765248,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,3644949013274598187,1589321788253957953175,0
