,event,logIndex,transactionIndex,address,blockNumber,sender,to,shares,amount0,amount1
0,Deposit,386,65,0x8AC3D7cd56816Da9fB45e7640aA70A24884e02f7,39589815,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,2000000000000000,0,2000000000000000
1,Deposit,398,63,0x8AC3D7cd56816Da9fB45e7640aA70A24884e02f7,39596269,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,162000000000000000000,0,162000000000000000000
2,Deposit,168,30,0x8AC3D7cd56816Da9fB45e7640aA70A24884e02f7,40308621,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,289476194039859949591,0,293000000000000000000
3,Deposit,246,41,0x8AC3D7cd56816Da9fB45e7640aA70A24884e02f7,40870280,0xFC5A720B05DB97C4eA318F17CE8028a399EC2429,0xFC5A720B05DB97C4eA318F17CE8028a399EC2429,97302678330766235,0,100000000000000000
4,Deposit,187,38,0x8AC3D7cd56816Da9fB45e7640aA70A24884e02f7,41028467,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,369078195534464927090,0,378881661360422313925
5,Deposit,185,38,0x8AC3D7cd56816Da9fB45e7640aA70A24884e02f7,41028728,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,278101688369341181945,0,290000000000000000000
6,Deposit,69,20,0x8AC3D7cd56816Da9fB45e7640aA70A24884e02f7,41533480,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,356764905167511565683,0,373699983214270290472
7,Deposit,174,41,0x8AC3D7cd56816Da9fB45e7640aA70A24884e02f7,41534447,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,319818701095816557882,0,335000000000000000000
8,Deposit,195,47,0x8AC3D7cd56816Da9fB45e7640aA70A24884e02f7,41987161,0xFFc14dF86148C538e149283d33FE0ac141e755F1,0xFFc14dF86148C538e149283d33FE0ac141e755F1,3815870059050579885,0,4000000000000000000
