,event,logIndex,transactionIndex,address,blockNumber,sender,to,shares,amount0,amount1
0,Deposit,258,75,0x70Aa3c8e256c859e52c0B8C263f763D9051B95e1,33281606,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,1750000000000000000,0,1750000000000000000
1,Deposit,274,65,0x70Aa3c8e256c859e52c0B8C263f763D9051B95e1,33346008,0xcF2eE1DC5dad423F5CA6f19C72D241deEC269974,0xcF2eE1DC5dad423F5CA6f19C72D241deEC269974,100000098085586842106,0,100000098085586842106
2,Deposit,240,56,0x70Aa3c8e256c859e52c0B8C263f763D9051B95e1,33673290,0x00c04AA8Debc509Dec763ec5b32A31d4C72912e8,0x00c04AA8Debc509Dec763ec5b32A31d4C72912e8,300000000000000000000000,0,300000000000000000000000
3,Deposit,411,86,0x70Aa3c8e256c859e52c0B8C263f763D9051B95e1,36766616,0x7e6eb2123463ca93BD0EF64bbcDde8dB16d77c42,0x7e6eb2123463ca93BD0EF64bbcDde8dB16d77c42,5750398621729009903,0,6256988883103794234
4,Deposit,182,47,0x70Aa3c8e256c859e52c0B8C263f763D9051B95e1,40921414,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,1071703260609807778,0,1000000000000000000
5,Deposit,150,32,0x70Aa3c8e256c859e52c0B8C263f763D9051B95e1,42030967,0xA5cE107711789b350e04063D4EffBe6aB6eB05a4,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,512290785938319982,0,500000000000000000
