vault,pool,tvl,token0_symbol,token1_symbol,allowed_token,days_since_first_deposit,qty_hold,qty_vault,return_rate,irr_cashflow,irr_cashflow_non_zero
0x21e8625531993ac26f0deafa4083fdf8f6ec3771,0x14b49fe0aeca3beabfee01b16900322313089681,2550865.0,ICHI,WBTC,ICHI,266.1902777777778,1000.0,1043.6,4.4,5.8,5.772883575448826
0x540b0d9af7004a78aa58a391718344c6897ab49a,0x89e4d042c27210c2cdfc472d3ea4a88d30e4c245,1985348.0,ICHI,USDC,ICHI,266.18958333333336,1000.0,1042.4,4.2,5.6,5.574703984135353
0xd22d97bb77e6bdf8d3f81ca8ffe58f58b7505282,0xe26f349579241af61c4b3f97cdf39abdd3211452,1233069.0,ICHI,WETH,ICHI,266.1911111111111,1000.0,1050.4,5.0,6.1,6.113498216278669
0x8abb986fb2c72abc5a08f4d34baf15279dd5581f,0x96467eae14bf1da07b5fedd07b2a4030b8f1481d,852471.0,wNXM,ICHI,wNXM,450.3827662037037,1000.0,684.2,-31.6,-26.5,-26.54853037683118
0x65c6abaa85dd7e374502b0101b6c1f54a5ad725f,0x81fbbc40cf075fd7de6afce1bc72eda1bb0e13aa,791219.0,WETH,IMX,IMX,186.1448611111111,1000.0,1084.4,8.4,12.5,11.326728494524385
0x683f081dbc729dbd34abac708fa0b390d49f1c39,0x8f0350c8be74b4cb0458cbf04d16753000fda9d0,584939.0,ICHI,USDC,USDC,446.5091087962963,1000.0,891.9,-10.8,-32.4,1.3203341312239032
0x913b7d91e019402233d2f75863133925ce658cd9,0x1622f1bef90233a6993f3bc85759adf5b9d9d7b9,349338.0,ICHI,WBTC,WBTC,439.57974537037035,1000.0,876.4,-12.4,-2.4,-7.892968815828919
0xf5777e4b828fc08001222ec4a72978ce727c8a8c,0x4f845c5ccf059002894d4e05cad5735ceceed68b,328378.0,ICHI,WETH,WETH,329.22099537037036,1000.0,1013.5,1.4,2.4,1.9450363151116379
0xfa20d29a6124f084efecd0c2c75c0d4214e671ab,0x1c647cb82c4aceaff363598f45a7ad82bcafe021,113059.0,LMR,WETH,LMR,13.830416666666666,1000.0,993.9,-0.6,-15.9,-15.88521585772185
0x65953959eda6f0085d75b6e6e1f44212ab71c55a,0x8c5220cd975daeaf7733e1cac88804c95e1c9803,98860.0,1INCH,ICHI,1INCH,378.5134375,1000.0,1116.3,11.6,10.8,9.666161474237175
0xef88913c674a9ca1e79b3986e4b222f3e75c7d05,0x6800c4e46091f9f3a100d1a97a892ef3db61954c,55831.0,WBTC,ICHI,WBTC,502.5287037037037,1000.0,73.3,-92.7,-92.6,-87.55907913180766
0xfeee972ffe5f0bda462130f88076158c1f9e561d,0x069648e80a86a3cdfa5ffb235a68b43b21b938b8,50277.0,WETH,COC,COC,182.9572222222222,1000.0,1028.3,2.8,6.0,5.961554104402727
0xe3ab7528d38214b0d53911fad72339512873d864,0xdd000787b245483d26ba624ad59e789ced4b6e77,49561.0,USDC,COC,COC,182.95652777777778,1000.0,1013.4,1.3,2.9,2.896326210266543
0xd3fed75d934ab824ff7fecd0f8a70f204e61769b,0x0002e63328169d7feea121f1e32e4f620abf0352,30532.0,wNXM,ICHI,wNXM,512.5453356481481,1000.0,919.6,-8.0,-95.8,-11.13829301115806
0xd9e3646f5f6f491c0011796c0f7ec45c6639c4c6,0xacaadf5e6b3b590f3b40e18b9460b247426dd6d1,23162.0,ICHI,GNO,GNO,450.3058101851852,1000.0,981.7,-1.8,1.8,-1.546394580619439
0x12a819ec5085a82a72d9bb3cdf78408271121677,0x256bd88baf707eaad1b73dc8b2b8a5d599b45584,9271.0,BOBA,WETH,BOBA,228.9636111111111,1000.0,1059.8,6.0,2.2,2.2238739420286473
0x779f9bad1f4b1ef5198ad9361dbf3791f9e0d596,0x202a4a99ab3833528e2dda446730e95cb004093e,8900.0,oneFOX,FOX,oneFOX,559.4472916666666,1000.0,543.4,-45.7,-79.7,-31.309706430586083
0x5feb9a87a9c7d05c9fbf7d24e753ceee6696f10d,0x6e4182c1de5fe878c019f518d3d7b6444e5dd319,5335.0,ICHI,CEL,CEL,450.32300925925927,1000.0,51167.6,5016.8,20.0,22.310763986010386
0xa380ea6be1c084851ae7846a8f39def17ecf6ed8,0xa5a4adaf57988a96e40a1a96f588455669f025b4,1606.0,GNO,ICHI,GNO,531.304699074074,1000.0,943.7,-5.6,-92.4,190117.95176878528
0x82ff3e2ec3bdca84cf0637402907e26c51d1d676,0x2953faf0de9c32f5e36003163e0877f62e734c6e,742.0,ICHI,CEL,CEL,517.9940972222222,1000.0,157601.5,15660.2,-94.8,-86.16114806276218
0xa4adf19196bc401a31e6e22e203c4a2fa0d1886a,0x9c41964009042950823fb30e42dbb5a2991517b8,604.0,ICHI,MKR,MKR,281.3926388888889,1000.0,892.0,-10.8,-15.6,-13.745316340216707
0x784ac9aaeab58aaf904cc69e105aa51343e4c693,0xa06b80e8912d94bfa4a5772c05d96c638435d15d,561.0,QRDO,USDC,USDC,442.4063194444444,1000.0,12465.5,1146.6,-53.3,762.1905548847619
0xb6c52337aec343008cef9134b80da5429d9196d8,0x43afc67c133492ae9287061953c9348fc3eb74bc,536.0,BAT,ICHI,BAT,281.3938888888889,1000.0,804.8,-19.5,-24.5,-24.40514978727979
0x91e4d4d930c5b68b384a81866b03d288223cb41b,0x3e354aa345cf7c63c548513f1d47b50d8917e2d7,399.0,YFI,ICHI,YFI,281.37333333333333,1000.0,1024.0,2.4,3.2,3.1907289126671907
0x1e0c4d5030f3766c1b8a6d46c2f89aa4dbb92448,0x3fd407d9367da94399446a1ab8f367ba55b9a297,398.0,ICHI,COMP,COMP,281.3802777777778,1000.0,642.5,-35.7,-34.4,-34.415251794110056
0x53fcdd1e5c2bc05fc848e7a77273132bf891de9d,0x02824ffac5f7e2b5bd039855dd331b1e8fd30544,387.0,ICHI,LDO,LDO,273.0258333333333,1000.0,1026.4,2.6,3.5,3.540325627515932
0x4dfa8455658f4d6d2eeb91cbefb0ee94056bb3dc,0xb2ef3ee0038ea679e3017439dc8b280b69c35432,277.0,ICHI,BNT,BNT,402.40502314814813,1000.0,3226.2,222.6,5.2,214.05551265153906
0xd46904b107b249e64d28f66a4b6bac2e6ac1b953,0xc763b6b3d0f75167db95daa6a0a0d75dd467c4e1,274.0,GIV,WETH,GIV,228.96069444444444,1000.0,1000.0,0.0,0.0,3.379296838330645e-15
0xca121a7030302c1192896293c8d16d24d323e191,0xdbf94632709165052c98f7f85153c710551032bc,272.0,ICHI,SUSHI,SUSHI,281.38944444444445,1000.0,1248.8,24.9,14.3,33.31753648930616
0x742f29c97e2610e1d142c0906c4ec7b38f194daa,0x74481698c673c3edf0b796497a4efa1d5c13b0d2,246.0,ICHI,IMX,IMX,187.16791666666666,1000.0,3350.0,235.0,14.8,971.784507332067
0xf01f687873cafd318fecb11f8f4fd3d02512c974,0xf7a923283a23258c7196a79666de6ae368c57685,200.0,ICHI,OGN,OGN,273.025,1000.0,967.2,-3.3,-4.5,-4.543971524736759
0xdc6ee42cc2b0b0af968fa27092b5c061cddda8fe,0x021f7542293a4f720c033c60637d8d90423277d5,188.0,ICHI,BIT,BIT,285.28625,1000.0,1651.2,65.1,-16.0,-18.168438597506192
0x48fbe026392e4c86b859794abb56625537c16dd0,0x4a6a12546a91891e16d4f6d1de47cf80034899b7,65.0,ICHI,WETH,WETH,378.51596064814817,1000.0,1000.0,-0.0,-0.0,-1.8590999642628843e-06
0x5b266a067853bbbef5ba9687d5a7a605bbad510e,0x88051b0eea095007d3bef21ab287be961f3d8598,64.0,OHM,WETH,OHM,91.8873611111111,1000.0,1000.0,0.0,-0.0,-3.4313234110355025e-08
0x4c9523d75cc520b9ed5f24275a680b95daca903a,0x07797c4c95d18717c2c0158fb5e764b1c7429ee7,6.0,UMA,ICHI,UMA,260.24902777777777,1000.0,3304.8,230.5,16.1,432.1083146371066
0xe151e7d9dd2481d986d7146c249a70b66d0a4203,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,2.0,USDC,WETH,WETH,173.05138888888888,1000.0,1000.0,0.0,-0.0,-1.1059114987031727e-07
0xd1007271d6f8681d34d26ea88ee4b3bdc0d95513,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,2.0,WBTC,WETH,WETH,173.0523611111111,1000.0,1000.0,0.0,-0.0,-1.1059114987031727e-07
