n_row,block_number,vault_addr,token_n,vault_token_ratio,amount_per_share,diff_ratio
9,40836639,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,token0,1.2407512739566036e-09,8.57441841583356e-10,3.833094323732476e-10
10,40888839,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,token0,1.2566377054728536e-09,1.0893043378675985e-09,1.6733336760525505e-10
11,40913967,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,token0,1.2583153223619597e-09,1.1146784573650524e-09,1.436368649969073e-10
0,40698011,0xB05bE549a570e430e5ddE4A10a0d34cf09a7df21,token1,0.9877436758441308,0.7778191592756531,0.20992451656847766
1,40911398,0xB05bE549a570e430e5ddE4A10a0d34cf09a7df21,token1,0.9906841279104706,0.7271153667827592,0.2635687611277113
2,40990933,0xB05bE549a570e430e5ddE4A10a0d34cf09a7df21,token1,0.9890536818831078,0.7777435893474044,0.21131009253570343
3,41027497,0xB05bE549a570e430e5ddE4A10a0d34cf09a7df21,token1,0.9902916560924959,0.7852791299251025,0.2050125261673934
0,40149408,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,token0,1210.3986628259481,992.4189312016005,217.97973162434766
0,26548627,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,0.9999999999999999,1.0,-1.1102230246251565e-16
1,26550255,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,0.9999999999999999,1.0,-1.1102230246251565e-16
2,26550336,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,0.9999999999999999,1.0,-1.1102230246251565e-16
3,26582367,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,0.9999999999999998,1.0,-2.220446049250313e-16
4,26903237,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.0,1.0,0.0
5,26924709,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,0.9999999999999998,1.0,-2.220446049250313e-16
6,26999964,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.0,1.0,0.0
7,27000012,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.0,1.0,0.0
8,27012211,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.0,1.0,0.0
9,27014329,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,0.9999999999999999,1.0,-1.1102230246251565e-16
10,27014377,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.0,1.0,0.0
11,27014578,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,0.9999999999999999,1.0,-1.1102230246251565e-16
12,27014937,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,0.9999999999999999,1.0,-1.1102230246251565e-16
13,27014956,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,0.9999999999999999,1.0,-1.1102230246251565e-16
14,27014970,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.0,1.0,0.0
15,27015032,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,0.9999999999999999,1.0,-1.1102230246251565e-16
16,27015759,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,0.9999999999999999,1.0,-1.1102230246251565e-16
17,27019032,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.0,1.0,0.0
18,27021886,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,0.9999999999999998,1.0,-2.220446049250313e-16
19,27022133,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.0,1.0,0.0
20,27023213,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.0,1.0,0.0
21,27038999,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.0,1.0,0.0
22,27039018,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.0,1.0,0.0
23,27039675,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.0,1.0,0.0
24,27039732,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.0,1.0,0.0
25,27040697,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.0,1.0,0.0
26,27067990,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,0.9999999999999999,1.0,-1.1102230246251565e-16
27,27067994,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.0,1.0,0.0
28,27087659,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.0,1.0,0.0
29,27089393,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.0,1.0,0.0
30,27089491,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,0.9999999999999998,1.0,-2.220446049250313e-16
31,27394628,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,0.9999999999999998,1.0,-2.220446049250313e-16
32,27544206,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,0.9999999999999998,1.0,-2.220446049250313e-16
33,27667517,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.0,1.0,0.0
34,28194849,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.0,1.0,0.0
35,28258186,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,0.9999999999999999,1.0,-1.1102230246251565e-16
36,28258206,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,0.9999999999999998,1.0,-2.220446049250313e-16
37,28760755,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.0,1.0,0.0
38,29473520,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.0184070784100898,0.8736114694935191,0.14479560891657073
39,29577325,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.0319925454713867,0.7191069220249835,0.31288562344640325
40,29577338,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.0319925454713867,0.7191069220249835,0.31288562344640325
41,29577358,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.0319925454713867,0.7191069220249835,0.31288562344640325
42,30661287,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.03803045017185,0.6727931466744262,0.3652373034974238
43,30841199,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.1325600351017624,0.6944737922982333,0.43808624280352915
44,30841250,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.1325605614714316,0.6944737922982333,0.43808676917319833
45,30841366,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.1325621705987499,0.6944737922982333,0.4380883783005166
46,31207718,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.1640091531474828,0.7076890924153004,0.45632006073218234
47,31207743,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.1640094381355923,0.7076890924153004,0.4563203457202919
48,31207761,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.1640096520053524,0.7076890924153004,0.456320559590052
49,31207785,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.1647428708471108,0.7079840668482057,0.4567588039989051
50,31361557,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.2002496918630579,1.0207426256506158,0.17950706621244206
51,31779668,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.220490398609179,1.041090313335779,0.17940008527340012
52,34231315,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.2436493311933172,0.8780061106227669,0.3656432205705503
53,34306723,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.2430306672182254,0.8758181814420188,0.3672124857762066
54,34684803,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.2544538434188113,0.9578561683902294,0.2965976750285819
55,35548751,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.2451454422801784,0.9947664320155011,0.25037901026467735
56,35810037,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.2517565961003476,0.9979120362721537,0.25384455982819387
57,36469903,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.2338869925833038,0.8122939732517478,0.421593019331556
58,38096895,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.1877428392324072,0.8205968837621497,0.3671459554702575
59,38185963,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.195374668053686,0.8782586056461053,0.31711606240758083
60,38341367,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.2031642882965943,0.9319781601865784,0.27118612811001586
61,38662014,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.212435410794493,0.9197040501452942,0.2927313606491988
62,38718955,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.2083957969753623,0.9464455549990388,0.26195024197632344
63,39158426,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.1867600690776474,0.8751212640367894,0.31163880504085806
64,39362741,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.1934821822377895,0.964540370830979,0.22894181140681047
65,39595473,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.1949176613579273,0.9361967082706973,0.25872095308723
66,40758584,0xE5bf5D33C617556B91558aAfb7BeadB68E9Cea81,token1,1.1385224954274258,0.9839824858742854,0.1545400095531404
0,40868197,0x5394eb43700Ce8fBbF4CB83E8b52ea73b71426B6,token0,59529755157928.48,59430584211959.11,99170945969.36719
0,40574063,0xc9C785d61455A44E9281C60D19e97A5Fdd858510,token0,267881394360.19827,203676471922.77713,64204922437.42114
0,39785437,0x8AC3D7cd56816Da9fB45e7640aA70A24884e02f7,token1,1.010904504474611,0.6801252361495859,0.33077926832502513
1,39785942,0x8AC3D7cd56816Da9fB45e7640aA70A24884e02f7,token1,1.0106482217022097,0.6818398307616627,0.32880839094054704
2,39785964,0x8AC3D7cd56816Da9fB45e7640aA70A24884e02f7,token1,1.01064822170221,0.6818398307616627,0.32880839094054726
3,40016874,0x8AC3D7cd56816Da9fB45e7640aA70A24884e02f7,token1,1.0054286198905906,0.7260378882352164,0.2793907316553742
4,41028518,0x8AC3D7cd56816Da9fB45e7640aA70A24884e02f7,token1,1.044594480406782,0.9922630396935329,0.05233144071324902
0,26551389,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,token1,1.0,1.0,0.0
1,26551439,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,token1,1.0,1.0,0.0
2,26582491,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,token1,1.0,1.0,0.0
3,26589011,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,token1,1.0,1.0,0.0
4,27016434,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,token1,1.0,1.0,0.0
5,27033908,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,token1,1.0,1.0,0.0
6,27033954,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,token1,1.0,1.0,0.0
7,27210338,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,token1,1.0,1.0,0.0
8,27544117,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,token1,0.9999999999999999,1.0,-1.1102230246251565e-16
9,28521138,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,token1,1.0,1.0,0.0
10,29331641,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,token1,1.0116289404235197,1.0020267485130516,0.009602191910468072
11,29375389,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,token1,1.0116213776062855,1.0099051288034115,0.0017162488028739098
12,29451840,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,token1,1.0116700717727332,1.0101288560180277,0.0015412157547054495
13,29520685,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,token1,1.0086855264614982,0.9499599287695382,0.05872559769196006
14,29613509,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,token1,0.9930156374943663,0.9435604079744616,0.049455229519904664
15,32994292,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,token1,1.1435845960638218,0.7284259649917162,0.4151586310721056
16,34244430,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,token1,1.1798876062173071,0.9607927332782824,0.21909487293902474
17,34684772,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,token1,1.1873967356278483,0.9783613328406635,0.2090354027871848
18,34718949,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,token1,1.1870815090350744,0.9723612402927037,0.2147202687423707
19,38158978,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,token1,1.114017357842452,0.8019678095912179,0.312049548251234
20,38186137,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,token1,1.1129400890402017,0.8004988977839657,0.31244119125623604
21,39595460,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,token1,1.125753261474028,0.8977802488092619,0.2279730126647661
22,40381130,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,token1,1.0769978602167152,0.7990204984603125,0.27797736175640264
0,38186032,0x21e6910A769d10ef4236107493406a9788C758a3,token0,14093173424985.719,12611803471597.863,1481369953387.8555
1,39108474,0x21e6910A769d10ef4236107493406a9788C758a3,token0,11452763837937.822,2389391030775.8955,9063372807161.926
2,39836289,0x21e6910A769d10ef4236107493406a9788C758a3,token0,24508511134592.406,9486526870452.102,15021984264140.305
3,39938801,0x21e6910A769d10ef4236107493406a9788C758a3,token0,34441385302403.477,20281708761575.06,14159676540828.418
