vault,pool,tvl,token0_symbol,token1_symbol,allowed_token,days_since_first_deposit,qty_hold,qty_vault,return_rate,irr_cashflow,irr_cashflow_non_zero
0x30719f11439dac84c1e5f05fa7387ebbbff43ec9,0x44c40a6544f29f331720e989cd2724306b21c0d0,55864.0,WETH,ICHI,WETH,27.305127314814815,1000,11420.375008680923,10.420375008680923,0.11616195091388135,0.11616195091388133
0x0ef3865cf3ebbdef3bd844d561b70356de515556,0x8b18ce58ebcbae8c70962643d2a13a7721ba02f6,28713.0,ARB,ICHI,ARB,27.307997685185185,1000,1018.0433124546373,0.018043312454637306,0.06832112370377479,0.06832112370377479
0x1a64166dc78830aeff560fb0f4c521830d7fd76f,0xc6f780497a95e246eb9449f5e4770916dcd6396a,12443.0,WETH,ARB,ARB,51.27244212962963,1000,1029.1707340263604,0.02917073402636028,0.17248298461968212,0.17218187539764415
0x6ee1621aa1b3eb17826253933b2819327c1690e7,0x475f876b51482cba85926ad079b6163668399376,9853.0,L2DAO,WETH,L2DAO,15.847523148148149,1000,1001.8772673894805,0.0018772673894804637,0.07085078252036864,0.07085078252036864
0x963c6b967dc0a1146bb5869760d598fefcaf4b78,0x689c96ceab93f5e131631d225d75dea3fd37747e,68.0,WBTC,ARB,ARB,20.255405092592593,1000,1001.7479138590803,0.0017479138590803522,0.07254021731709885,0.07254021731709885
0x68c34c8bd1bb40655cabbdf5efefed9e4037a81f,0x58d7dc05105e2843ab014e4871536b606616efd4,23.0,WBTC,ICHI,WBTC,20.256064814814813,1000,15573.575803140582,14.573575803140583,530674892109548200000,530674892109548200000
0x332556acf424b9a59ce3333fa57bbc95d24ed642,0x66fd931b23ce0770495c393e489db61aaea1e555,,ICHI,USDC,USDC,27.30465277777778,1000,1008.045379123548,0.008045379123547969,0.06991561216697356,0.06991561216697356
